date;Solar;Eolico
1990-01-01 00:00;0;0
1990-01-01 01:00;0;0
1990-01-01 02:00;0;0
1990-01-01 03:00;0;0
1990-01-01 04:00;0;0
1990-01-01 05:00;0;0
1990-01-01 06:00;0;0
1990-01-01 07:00;0;0
1990-01-01 08:00;27,674;24,609
1990-01-01 09:00;110,01;97,335
1990-01-01 10:00;224,25;201,36
1990-01-01 11:00;485,87;436,34
1990-01-01 12:00;742,67;675,15
1990-01-01 13:00;571,34;515,48
1990-01-01 14:00;99,717;90,469
1990-01-01 15:00;18,502;16,779
1990-01-01 16:00;0;0
1990-01-01 17:00;0;0
1990-01-01 18:00;0;0
1990-01-01 19:00;0;0
1990-01-01 20:00;0;0
1990-01-01 21:00;0;0
1990-01-01 22:00;0;0
1990-01-01 23:00;0;0
1990-01-02 00:00;0;0
1990-01-02 01:00;0;0
1990-01-02 02:00;0;0
1990-01-02 03:00;0;0
1990-01-02 04:00;0;0
1990-01-02 05:00;0;0
1990-01-02 06:00;0;0
1990-01-02 07:00;0;0
1990-01-02 08:00;0;0
1990-01-02 09:00;14,005;12,7
1990-01-02 10:00;295,3;263,37
1990-01-02 11:00;342,08;308,84
1990-01-02 12:00;374,47;340,38
1990-01-02 13:00;214,8;194,81
1990-01-02 14:00;220,56;198,83
1990-01-02 15:00;111,57;100,3
1990-01-02 16:00;48,053;42,486
1990-01-02 17:00;0;0
1990-01-02 18:00;0;0
1990-01-02 19:00;0;0
1990-01-02 20:00;0;0
1990-01-02 21:00;0;0
1990-01-02 22:00;0;0
1990-01-02 23:00;0;0
1990-01-03 00:00;0;0
1990-01-03 01:00;0;0
1990-01-03 02:00;0;0
1990-01-03 03:00;0;0
1990-01-03 04:00;0;0
1990-01-03 05:00;0;0
1990-01-03 06:00;0;0
1990-01-03 07:00;0;0
1990-01-03 08:00;13,102;11,881
1990-01-03 09:00;154,84;133,24
1990-01-03 10:00;237,8;213,72
1990-01-03 11:00;335,04;302,66
1990-01-03 12:00;343,32;312,1
1990-01-03 13:00;333,79;302,42
1990-01-03 14:00;147,06;133,22
1990-01-03 15:00;65,286;59,228
1990-01-03 16:00;0;0
1990-01-03 17:00;0;0
1990-01-03 18:00;0;0
1990-01-03 19:00;0;0
1990-01-03 20:00;0;0
1990-01-03 21:00;0;0
1990-01-03 22:00;0;0
1990-01-03 23:00;0;0
1990-01-04 00:00;0;0
1990-01-04 01:00;0;0
1990-01-04 02:00;0;0
1990-01-04 03:00;0;0
1990-01-04 04:00;0;0
1990-01-04 05:00;0;0
1990-01-04 06:00;0;0
1990-01-04 07:00;0;0
1990-01-04 08:00;8,7593;7,9411
1990-01-04 09:00;170,75;145,69
1990-01-04 10:00;330,84;294,67
1990-01-04 11:00;177,57;160,91
1990-01-04 12:00;486,94;443,82
1990-01-04 13:00;482,43;436,92
1990-01-04 14:00;421,46;375,51
1990-01-04 15:00;386,51;315,41
1990-01-04 16:00;178,41;126,41
1990-01-04 17:00;0;0
1990-01-04 18:00;0;0
1990-01-04 19:00;0;0
1990-01-04 20:00;0;0
1990-01-04 21:00;0;0
1990-01-04 22:00;0;0
1990-01-04 23:00;0;0
1990-01-05 00:00;0;0
1990-01-05 01:00;0;0
1990-01-05 02:00;0;0
1990-01-05 03:00;0;0
1990-01-05 04:00;0;0
1990-01-05 05:00;0;0
1990-01-05 06:00;0;0
1990-01-05 07:00;0;0
1990-01-05 08:00;16,931;15,357
1990-01-05 09:00;318,34;251,45
1990-01-05 10:00;495,52;437,35
1990-01-05 11:00;638,66;573,01
1990-01-05 12:00;672,65;615,34
1990-01-05 13:00;651,73;590,61
1990-01-05 14:00;558,86;494,55
1990-01-05 15:00;401,11;326,67
1990-01-05 16:00;199,65;141,72
1990-01-05 17:00;0;0
1990-01-05 18:00;0;0
1990-01-05 19:00;0;0
1990-01-05 20:00;0;0
1990-01-05 21:00;0;0
1990-01-05 22:00;0;0
1990-01-05 23:00;0;0
1990-01-06 00:00;0;0
1990-01-06 01:00;0;0
1990-01-06 02:00;0;0
1990-01-06 03:00;0;0
1990-01-06 04:00;0;0
1990-01-06 05:00;0;0
1990-01-06 06:00;0;0
1990-01-06 07:00;0;0
1990-01-06 08:00;18,586;16,858
1990-01-06 09:00;268,46;215,99
1990-01-06 10:00;394,12;350,72
1990-01-06 11:00;498,47;449,01
1990-01-06 12:00;514,06;469,8
